title_norm,year_clean,n_records,sources,record_ids,titles
a learning and control perspective for microfinance,2023,2,"[nan, nan]","['2-s2.0-85172874416', 'WOS:001221742900070']","['A Learning and Control Perspective for Microfinance', 'A Learning and Control Perspective for Microfinance']"
a stateled model of financial inclusion through mobile services,2020,2,"[nan, nan]","['2-s2.0-85091256119', 'WOS:000612982000002']","['A State-led model of financial inclusion through mobile services', 'A State-led Model of Financial Inclusion Through Mobile Services']"
addressing the role of risk management and digital finance technology on financial inclusion,2017,2,"[nan, nan]","['2-s2.0-85034567030', 'WOS:000423621600015']","['Addressing the role of risk management and digital finance technology on financial inclusion', 'Addressing the Role of Risk Management and Digital Finance Technology on Financial Inclusion']"
agent banking and financial inclusion the nigerian experience,2016,2,"[nan, nan]","['2-s2.0-85013990285', 'WOS:000392785700441']","['Agent banking and Financial inclusion: The nigerian experience', 'Agent Banking and Financial Inclusion: The Nigerian Experience']"
are australians under or over confident when it comes to tax literacy and why does it matter,2016,2,"[nan, nan]","['2-s2.0-85013150717', 'WOS:000404431900006']","['Are Australians under or over confident when it comes to tax literacy, and why does it matter?', 'Are Australians under or over confident when it comes to tax literacy, and why does it matter?']"
banking the unbanked women and microfinance in india,2015,2,"[nan, nan]","['2-s2.0-84955453649', 'WOS:000359057800005']","['Banking the unbanked: Women and microfinance in India', 'Banking the Unbanked: Women and Microfinance in India']"
can stablecoins actually improve financial inclusion exploring the it affordances of tokenbased digital currencies,2024,2,"[nan, nan]","['2-s2.0-85199772354', 'WOS:001301787507001']","['Can Stablecoins Actually Improve Financial Inclusion: Exploring the IT Affordances of Token-Based Digital Currencies', 'Can Stablecoins Actually Improve Financial Inclusion: Exploring the IT Affordances of Token-Based Digital Currencies']"
democracy and socioeconomic inclusion in nigeria reducing the mutual exclusivity through islamic microfinance,2017,2,"[nan, nan]","['2-s2.0-85039920816', 'WOS:000418624800001']","['Democracy and socio-economic inclusion in Nigeria: Reducing the mutual exclusivity through Islamic microfinance', 'DEMOCRACY AND SOCIO-ECONOMIC INCLUSION IN NIGERIA: REDUCING THE MUTUAL EXCLUSIVITY THROUGH ISLAMIC MICROFINANCE']"
design and evaluation of privacypreserving protocols for agentfacilitated mobile money services in kenya,2025,2,"[nan, nan]","['2-s2.0-105021082642', 'WOS:001577930800022']","['Design and Evaluation of Privacy-Preserving Protocols for Agent-Facilitated Mobile Money Services in Kenya', 'Design and Evaluation of Privacy-Preserving Protocols for Agent-Facilitated Mobile Money Services in Kenya']"
development of a framework for mobile money implementation in nigeria,2011,2,"[nan, nan]","['2-s2.0-84905104106', 'WOS:000317550000005']","['Development of a framework for mobile money implementation in Nigeria', 'Development of a Framework for Mobile Money Implementation in Nigeria']"
digital market perfection,2019,2,"[nan, nan]","['2-s2.0-85065913980', 'WOS:000463176100001']","['Digital market perfection', 'DIGITAL MARKET PERFECTION']"
digitally piloting offline payments for phones,2017,2,"[nan, nan]","['2-s2.0-85075922472', 'WOS:000698688000009']","['Digitally: Piloting offline payments for phones', 'DigiTally: Piloting Offline Payments for Phones']"
discrediting claims of financial inclusion the integration of artificial intelligence in consumer credit markets in the united states and kenya,2021,2,"[nan, nan]","['2-s2.0-85119605033', 'WOS:000734552100005']","['(Dis)crediting claims of financial inclusion: The integration of artificial intelligence in consumer credit markets in the united states and kenya', '(DIS)CREDITING CLAIMS OF FINANCIAL INCLUSION: THE INTEGRATION OF ARTIFICIAL INTELLIGENCE IN CONSUMER CREDIT MARKETS IN THE UNITED STATES AND KENYA']"
do remittances spur financial inclusion in africa a multidimensional approach,2021,2,"[nan, nan]","['2-s2.0-85109799768', 'WOS:000696954400013']","['Do Remittances Spur Financial Inclusion in Africa? a Multi-dimensional Approach', 'Do remittances spur financial inclusion in Africa? a multi-dimensional approach']"
drivers and challenges for biometrics in the financial services,2012,2,"[nan, nan]","['2-s2.0-84893154842', 'WOS:000321564000026']","['Drivers and challenges for biometrics in the financial services', 'Drivers and Challenges for Biometrics in the Financial Services']"
empirical analysis of the effect of exchange rate volatility and capital inflows on economic growth in nigeria 19702013,2016,2,"[nan, nan]","['2-s2.0-84984650210', 'WOS:000381172300089']","['Empirical analysis of the effect of exchange rate volatility and capital inflows on economic growth in Nigeria (1970-2013)', 'Empirical Analysis of the Effect of Exchange Rate Volatility and Capital Inflows on Economic Growth in Nigeria (1970-2013)']"
enhancing trust in digital finance blockchain and ai for secure and transparent fintech solutions,2025,2,"[nan, nan]","['2-s2.0-105001500348', 'WOS:001460253400006']","['ENHANCING TRUST IN DIGITAL FINANCE: BLOCKCHAIN AND AI FOR SECURE AND TRANSPARENT FINTECH SOLUTIONS', 'ENHANCING TRUST IN DIGITAL FINANCE: BLOCKCHAIN AND AI FOR SECURE AND TRANSPARENT FINTECH SOLUTIONS']"
evaluating games designed to improve financial capability,2010,2,"[nan, nan]","['2-s2.0-84901992482', 'WOS:000291089800102']","['Evaluating games designed to improve financial capability', 'Evaluating Games Designed to Improve Financial Capability']"
fedaccounts digital dollars,2021,2,"[nan, nan]","['2-s2.0-85128838169', 'WOS:000623051700003']","['FedAccounts: Digital Dollars', 'FedAccounts: Digital Dollars']"
financial inclusion a panacea for balanced economic development,2016,2,"[nan, nan]","['2-s2.0-85013918107', 'WOS:000392785700438']","['Financial inclusion: A panacea for balanced economic development', 'Financial Inclusion: A Panacea for Balanced Economic Development']"
financial inclusion cryptocurrency and afrofuturism,2023,2,"[nan, nan]","['2-s2.0-85178341881', 'WOS:001106607400008']","['FINANCIAL INCLUSION, CRYPTOCURRENCY, AND AFROFUTURISM', 'FINANCIAL INCLUSION, CRYPTOCURRENCY, AND AFROFUTURISM']"
financial literacy economic development and financial development a crosscountry analysis,2022,2,"[nan, nan]","['2-s2.0-85131422575', 'WOS:000809638800003']","['Financial Literacy, Economic Development and Financial Development: A Cross-Country Analysis', 'Financial Literacy, Economic Development and Financial Development: A Cross-Country Analysis']"
gender differences in financial literacy among chinese university students and the influential factors,2014,2,"[nan, nan]","['2-s2.0-84935422138', 'WOS:000339086100002']","['Gender differences in financial literacy among Chinese university students and the influential factors', 'Gender Differences in Financial Literacy among Chinese University Students and the Influential Factors']"
gender gap in case of financial inclusion an empirical analysis in indian context,2019,2,"[nan, nan]","['2-s2.0-85075352978', 'WOS:000504895700034']","['Gender Gap in case of financial inclusion: An empirical analysis in Indian Context', 'Gender Gap in case of Financial Inclusion: An Empirical Analysis in Indian Context']"
impact of financial inclusion on perus economic growth 20042021,2022,2,"[nan, nan]","['2-s2.0-85146320733', 'WOS:000910815500001']","[""Impact of Financial Inclusion on Peru's Economic Growth (2004–2021)"", ""Impact of Financial Inclusion on Peru's Economic Growth (2004-2021)""]"
information security management scaffold for mobile money systems in uganda,2019,2,"[nan, nan]","['2-s2.0-85069994168', 'WOS:000560821500029']","['Information security management scaffold for mobile money systems in uganda', 'Information Security Management Scaffold for Mobile Money Systems in Uganda']"
innovations microfinancing models in rural area,2015,2,"[nan, nan]","['2-s2.0-84976449524', 'WOS:000366872700197']","['Innovations microfinancing models in rural area', 'Innovations Microfinancing Models in Rural Area']"
islamic microfinance branchless banking model in indonesia,2016,2,"[nan, nan]","['2-s2.0-85008394113', 'WOS:000406144000004']","['Islamic microfinance branchless banking model in Indonesia', 'Islamic Microfinance Branchless Banking Model in Indonesia']"
issues facing islamic microfinance and their possible solutions empirical evidence from amanah ikhtiar malaysia,2018,2,"[nan, nan]","['2-s2.0-85060027653', 'WOS:000456491000002']","['Issues facing islamic microfinance and their possible solutions: Empirical evidence from Amanah Ikhtiar Malaysia', 'ISSUES FACING ISLAMIC MICROFINANCE AND THEIR POSSIBLE SOLUTIONS: EMPIRICAL EVIDENCE FROM AMANAH IKHTIAR MALAYSIA']"
measurement and comparison of rice production efficiency in thailand and india an efficient frontier approach,2017,2,"[nan, nan]","['2-s2.0-85039714173', 'WOS:000422733900020']","['Measurement and comparison of rice production efficiency in Thailand and India: An efficient frontier approach', 'Measurement and Comparison of Rice Production Efficiency in Thailand and India: An Efficient Frontier Approach']"
measuring financial inclusion,2015,2,"[nan, nan]","['2-s2.0-84940025346', 'WOS:000360196300064']","['Measuring financial inclusion', 'Measuring financial inclusion']"
microfinance a new approach for social and financial inclusion,2016,2,"[nan, nan]","['2-s2.0-84984602156', 'WOS:000381172300074']","['Microfinance a new approach for social and financial inclusion', 'Microfinance a New Approach for Social and Financial Inclusion']"
mitigating social engineering attacks psychological financial impact and a conceptual framework for cybersecurity awareness,2025,2,"[nan, nan]","['2-s2.0-105023902772', 'WOS:001606064800013']","['Mitigating Social Engineering Attacks: Psychological, Financial Impact, and a Conceptual Framework for Cybersecurity Awareness', 'Mitigating Social Engineering Attacks: Psychological, Financial Impact, and a Conceptual Framework for Cybersecurity Awareness']"
mobile banking influence on wealth creation and poverty reduction for the unbanked,2013,2,"[nan, nan]","['2-s2.0-84893772407', 'WOS:000349785100052']","['Mobile banking influence on wealth creation and poverty reduction for the unbanked', 'Mobile Banking Influence on Wealth Creation and Poverty Reduction for the Unbanked']"
mobile cash for nomadic livestock keepers the impact of the mobile phone money innovation mpesa on maasai pastoralists in kenya,2012,2,"[nan, nan]","['2-s2.0-84961727472', 'WOS:000325992900005']","['Mobile cash for nomadic livestock keepers: The impact of the mobile phone money innovation (M-Pesa) on Maasai pastoralists in Kenya', 'Mobile cash for nomadic livestock keepers: The impact of the mobile phone money innovation (M-Pesa) on Maasai pastoralists in Kenya']"
mobile money mobile problems analysis of branchless banking applications in the developing world,2015,2,"[nan, nan]","['2-s2.0-84988390686', 'WOS:000552616300002']","['Mo(bile) Money, Mo(bile) Problems: Analysis of branchless banking applications in the developing world', 'Mo(bile) Money, Mo(bile) Problems: Analysis of Branchless Banking Applications in the Developing World']"
much ado about nothing the historical journey towards financial inclusion for zimbabwes lowearning consumers,2023,2,"[nan, nan]","['2-s2.0-85177068808', 'WOS:001205767200008']","['“MUCH ADO ABOUT NOTHING”? THE HISTORICAL JOURNEY TOWARDS FINANCIAL INCLUSION FOR ZIMBABWE’S LOW-EARNING CONSUMERS', ""MUCH ADO ABOUT NOTHING? THE HISTORICAL JOURNEY TOWARDS FINANCIAL INCLUSION FOR ZIMBABWE'S LOW-EARNING CONSUMERS""]"
nextgeneration securitization nfts tokenization and the monetization of things,2023,2,"[nan, nan]","['2-s2.0-85148580205', 'WOS:001097277100001']","['NEXT-GENERATION SECURITIZATION: NFTS, TOKENIZATION, AND THE MONETIZATION OF “THINGS”', 'NEXT-GENERATION SECURITIZATION: NFTS, TOKENIZATION, AND THE MONETIZATION OF THINGS']"
on the usercentric evolution of mobile money technologies in developing nations successes and lessons,2014,2,"[nan, nan]","['2-s2.0-84905962150', 'WOS:000901675001060']","['On the user-centric evolution of mobile money technologies in developing nations: Successes and lessons', 'On the User-centric Evolution of Mobile Money Technologies in Developing Nations: Successes and Lessons']"
overconfidence and risky investment choices,2022,2,"[nan, nan]","['2-s2.0-85201461680', 'WOS:001228456800004']","['Overconfidence and risky investment choices', 'Overconfidence and risky investment choices']"
performance of islamic microfinance institutions accounting for wellbeing,2020,2,"[nan, nan]","['2-s2.0-85101283190', 'WOS:000605206200005']","['Performance of Islamic Microfinance Institutions: Accounting for Well-Being', 'Performance of Islamic Microfinance Institutions: Accounting for Well-Being']"
platform money,2024,2,"[nan, nan]","['2-s2.0-85207812347', 'WOS:001328291200003']","['Platform Money', 'Platform Money']"
poverty relief and financial inclusion savings banks in nineteenth century germany,2017,2,"[nan, nan]","['2-s2.0-85023739994', 'WOS:000414757800002']","['Poverty relief & financial inclusion: Savings banks in nineteenth century Germany', 'Poverty Relief and Financial Inclusion: Savings Banks in Nineteenth Century Germany']"
producing financially literate medical graduates a national need for a brighter pakistan,2015,2,"[nan, nan]","['2-s2.0-84938098693', 'WOS:000360444600011']","['Producing financially literate medical graduates - A national need for a brighter Pakistan', 'Producing financially literate medical graduates - a national need for a brighter Pakistan']"
remittances and financial inclusion does financial development matter,2021,2,"[nan, nan]","['2-s2.0-85109886161', 'WOS:000696954400016']","['Remittances and Financial Inclusion: Does Financial Development Matter?', 'Remittances and Financial Inclusion: Does Financial Development Matter?']"
role of mobile applications in mitigating challenges faced by informal saving groups,2020,2,"[nan, nan]","['2-s2.0-85094317161', 'WOS:000618861200058']","['Role of Mobile Applications in Mitigating Challenges Faced by Informal Saving Groups', 'Role of Mobile Applications in Mitigating Challenges Faced by Informal Saving Groups']"
social media and mobile money evidence of usage in south africa and zimbabwe,2019,2,"[nan, nan]","['2-s2.0-85069974073', 'WOS:000555914800028']","['Social media and mobile money: Evidence of usage in South Africa and Zimbabwe', 'Social Media and Mobile Money: Evidence of Usage in South Africa and Zimbabwe']"
structural modeling and mapping of mbanking influencers in india,2012,2,"[nan, nan]","['2-s2.0-84865087207', 'WOS:000305383600005']","['Structural modeling and mapping of m-banking influencers in india', 'STRUCTURAL MODELING AND MAPPING OF M-BANKING INFLUENCERS IN INDIA']"
the digital euro project a preliminary assessment,2022,2,"[nan, nan]","['2-s2.0-85131404385', 'WOS:000809638800004']","['The Digital Euro Project. A Preliminary Assessment', 'The Digital Euro Project. A Preliminary Assessment']"
the emergence of gender differences in consumer socialization among college students,2011,2,"[nan, nan]","['2-s2.0-84863798227', 'WOS:000303523200035']","['The emergence of gender differences in consumer socialization among college students', 'The Emergence of Gender Differences in Consumer Socialization among College Students']"
the end of the blockchain,2019,2,"[nan, nan]","['2-s2.0-85071449327', 'WOS:000620326700034']","['The end of the blockchain', 'THE END OF THE BLOCKCHAIN']"
the financial inclusion model based on baitul mal wa tanwil bmt cooperatives and community,2016,2,"[nan, nan]","['2-s2.0-85028671764', 'WOS:000390985200008']","['The financial inclusion model based on Baitul Mal Wa Tanwil (BMT) cooperatives and community', 'THE FINANCIAL INCLUSION MODEL BASED ON BAITUL MAL WA TANWIL (BMT) COOPERATIVES AND COMMUNITY']"
the impact of big data on the south african banking industry,2018,2,"[nan, nan]","['2-s2.0-85059814987', 'WOS:000684215100026']","['The impact of big data on the South African banking industry', 'The Impact of Big Data on the South African Banking Industry']"
the impact of financial inclusion on rural food security experience a perspective from lowand middleincome countries,2020,2,"[nan, nan]","['2-s2.0-85119584882', 'WOS:000670408300001']","['The impact of financial inclusion on rural food security experience: a perspective from low-and middle-income countries', 'The impact of financial inclusion on rural food security experience: A perspective from low-and middle-income countries']"
the influence of financial literacy money attitude financial strain and financial capability on young employees financial wellbeing,2015,2,"[nan, nan]","['2-s2.0-84947071246', 'WOS:000373773000006']","[""The influence of financial literacy, money attitude, financial strain and financial capability on young employees' financial well-being"", ""The Influence of Financial Literacy, Money Attitude, Financial Strain and Financial Capability on Young Employees' Financial Well-being""]"
understanding mobile banking success through user segmentation,2018,2,"[nan, nan]","['2-s2.0-85108272021', 'WOS:000625208500108']","['Understanding mobile banking success through user segmentation', 'Understanding Mobile Banking Success through User Segmentation']"
