raw_record_id,source_db,doc_id_canonical,dedup_reason
2-s2.0-0027453241,,FI_000000,kept
2-s2.0-85072143396,,FI_000001,kept
2-s2.0-85134992124,,FI_000002,kept
2-s2.0-105008457015,,FI_000003,kept
2-s2.0-105023139006,,FI_000004,kept
2-s2.0-105025318190,,FI_000005,kept
2-s2.0-85034399261,,FI_000006,kept
2-s2.0-85034393529,,FI_000007,kept
2-s2.0-85217299982,,FI_000008,kept
2-s2.0-105026043478,,FI_000009,kept
2-s2.0-85162906447,,FI_000010,kept
2-s2.0-85218378049,,FI_000011,kept
2-s2.0-105010980492,,FI_000012,kept
2-s2.0-105010983703,,FI_000013,kept
2-s2.0-105007384873,,FI_000014,kept
2-s2.0-105007800861,,FI_000015,kept
2-s2.0-105007746593,,FI_000016,kept
2-s2.0-85175672008,,FI_000017,kept
2-s2.0-85175665166,,FI_000018,kept
2-s2.0-85191444880,,FI_000019,kept
2-s2.0-85191462985,,FI_000020,kept
2-s2.0-85210217809,,FI_000021,kept
2-s2.0-85218053113,,FI_000022,kept
2-s2.0-85217293705,,FI_000023,kept
2-s2.0-85217321250,,FI_000024,kept
2-s2.0-85214598859,,FI_000025,kept
2-s2.0-85214612058,,FI_000026,kept
2-s2.0-85214593610,,FI_000027,kept
2-s2.0-105019143534,,FI_000028,kept
2-s2.0-105014421392,,FI_000029,kept
2-s2.0-105014465668,,FI_000030,kept
2-s2.0-105014434548,,FI_000031,kept
2-s2.0-85013778335,,FI_000032,kept
2-s2.0-85111354333,,FI_000033,kept
WOS:001138389800001,,FI_000034,kept
2-s2.0-105011849194,,FI_000035,kept
2-s2.0-85120673015,,FI_000036,kept
2-s2.0-84994607936,,FI_000037,kept
2-s2.0-84871042877,,FI_000038,kept
2-s2.0-80052218658,,FI_000039,kept
2-s2.0-84874478169,,FI_000040,kept
2-s2.0-85090454692,,FI_000041,kept
2-s2.0-85210071630,,FI_000042,kept
2-s2.0-105011971150,,FI_000043,kept
2-s2.0-105012853814,,FI_000044,kept
2-s2.0-85219681583,,FI_000045,kept
2-s2.0-85091727039,,FI_000046,kept
2-s2.0-85106339905,,FI_000047,kept
2-s2.0-85133806529,,FI_000048,kept
2-s2.0-85116682104,,FI_000049,kept
2-s2.0-85114253926,,FI_000050,kept
2-s2.0-85191798129,,FI_000051,kept
2-s2.0-105002014714,,FI_000052,kept
2-s2.0-105010433835,,FI_000053,kept
2-s2.0-105018454455,,FI_000054,kept
2-s2.0-85075932850,,FI_000055,kept
2-s2.0-85081992528,,FI_000056,kept
2-s2.0-85126430009,,FI_000057,kept
2-s2.0-85165477914,,FI_000058,kept
2-s2.0-105015359350,,FI_000059,kept
WOS:001654860700001,,FI_000060,kept
2-s2.0-85019545603,,FI_000061,kept
2-s2.0-86000385079,,FI_000062,kept
2-s2.0-105000317740,,FI_000063,kept
2-s2.0-105022743217,,FI_000064,kept
2-s2.0-105013333889,,FI_000065,kept
2-s2.0-105022689063,,FI_000066,kept
2-s2.0-85169158114,,FI_000067,kept
2-s2.0-85074846477,,FI_000068,kept
2-s2.0-85077877402,,FI_000069,kept
2-s2.0-85076138976,,FI_000070,kept
2-s2.0-85092664657,,FI_000071,kept
2-s2.0-85089298198,,FI_000072,kept
2-s2.0-85092623161,,FI_000073,kept
WOS:000564357700001,,FI_000074,kept
2-s2.0-85091691553,,FI_000075,kept
2-s2.0-85097274136,,FI_000076,kept
2-s2.0-85099264388,,FI_000077,kept
2-s2.0-85099996139,,FI_000078,kept
2-s2.0-85126305094,,FI_000079,kept
2-s2.0-85143430097,,FI_000080,kept
2-s2.0-85151969534,,FI_000081,kept
2-s2.0-85161140815,,FI_000082,kept
2-s2.0-85165593083,,FI_000083,kept
2-s2.0-85171138894,,FI_000084,kept
2-s2.0-85186249895,,FI_000085,kept
2-s2.0-105002571438,,FI_000086,kept
2-s2.0-105018328811,,FI_000087,kept
2-s2.0-105017079177,,FI_000088,kept
WOS:001253760100002,,FI_000089,kept
2-s2.0-85065652264,,FI_000090,kept
2-s2.0-85077873252,,FI_000091,kept
2-s2.0-85089861830,,FI_000092,kept
WOS:000888625500001,,FI_000093,kept
2-s2.0-105020408844,,FI_000094,kept
2-s2.0-58849167316,,FI_000095,kept
2-s2.0-85032338858,,FI_000096,kept
2-s2.0-85027077191,,FI_000097,kept
WOS:000827080900001,,FI_000098,kept
2-s2.0-105021200450,,FI_000099,kept
2-s2.0-34548258754,,FI_000100,kept
2-s2.0-79960456049,,FI_000101,kept
2-s2.0-84899939713,,FI_000102,kept
2-s2.0-84992533166,,FI_000103,kept
2-s2.0-85038429528,,FI_000104,kept
2-s2.0-85056175332,,FI_000105,kept
2-s2.0-85056122321,,FI_000106,kept
2-s2.0-85061827626,,FI_000107,kept
2-s2.0-85084456856,,FI_000108,kept
2-s2.0-85089784560,,FI_000109,kept
2-s2.0-85099422480,,FI_000110,kept
2-s2.0-85107013463,,FI_000111,kept
2-s2.0-85121395679,,FI_000112,kept
2-s2.0-85124487509,,FI_000113,kept
2-s2.0-85124721292,,FI_000114,kept
WOS:000787780700001,,FI_000115,kept
2-s2.0-85134378870,,FI_000116,kept
2-s2.0-85144856632,,FI_000117,kept
2-s2.0-85168016357,,FI_000118,kept
2-s2.0-85165150265,,FI_000119,kept
2-s2.0-85185692626,,FI_000120,kept
2-s2.0-85177595045,,FI_000121,kept
2-s2.0-85182457147,,FI_000122,kept
WOS:001204709400001,,FI_000123,kept
WOS:001299031000001,,FI_000124,kept
2-s2.0-105000944182,,FI_000125,kept
2-s2.0-105003291618,,FI_000126,kept
2-s2.0-105020767967,,FI_000127,kept
2-s2.0-65549103449,,FI_000128,kept
2-s2.0-84934975043,,FI_000129,kept
2-s2.0-84988607426,,FI_000130,kept
2-s2.0-84942259214,,FI_000131,kept
WOS:000396441400001,,FI_000132,kept
WOS:000397470300009,,FI_000133,kept
2-s2.0-85034631827,,FI_000134,kept
2-s2.0-85034626451,,FI_000135,kept
WOS:000455576700006,,FI_000136,kept
2-s2.0-85084232068,,FI_000137,kept
2-s2.0-85084223317,,FI_000138,kept
2-s2.0-85090391930,,FI_000139,kept
2-s2.0-85109398859,,FI_000140,kept
2-s2.0-85109379074,,FI_000141,kept
2-s2.0-85109410561,,FI_000142,kept
2-s2.0-105023302568,,FI_000143,kept
WOS:000483059200001,,FI_000144,kept
2-s2.0-85120655834,,FI_000145,kept
2-s2.0-84961872559,,FI_000146,kept
2-s2.0-85194371725,,FI_000147,kept
2-s2.0-85061233486,,FI_000148,kept
2-s2.0-85065147055,,FI_000149,kept
2-s2.0-85075309123,,FI_000150,kept
2-s2.0-85085092220,,FI_000151,kept
2-s2.0-85088293589,,FI_000152,kept
2-s2.0-85100803828,,FI_000153,kept
2-s2.0-85111797443,,FI_000154,kept
2-s2.0-105004183132,,FI_000155,kept
2-s2.0-105021504832,,FI_000156,kept
2-s2.0-85047668076,,FI_000157,kept
2-s2.0-85019707079,,FI_000158,kept
2-s2.0-85043360968,,FI_000159,kept
WOS:000729912800001,,FI_000160,kept
2-s2.0-85185932111,,FI_000161,kept
2-s2.0-105013471649,,FI_000162,kept
2-s2.0-105002086116,,FI_000163,kept
2-s2.0-85120412851,,FI_000164,kept
2-s2.0-85133194583,,FI_000165,kept
2-s2.0-85135112453,,FI_000166,kept
2-s2.0-17644423415,,FI_000167,kept
2-s2.0-85152080228,,FI_000168,kept
2-s2.0-85185699370,,FI_000169,kept
2-s2.0-85190248738,,FI_000170,kept
2-s2.0-105001649705,,FI_000171,kept
2-s2.0-105007755394,,FI_000172,kept
2-s2.0-105020069423,,FI_000173,kept
2-s2.0-105023402733,,FI_000174,kept
2-s2.0-105023376790,,FI_000175,kept
2-s2.0-105026172556,,FI_000176,kept
2-s2.0-85044868234,,FI_000177,kept
2-s2.0-105025711946,,FI_000178,kept
2-s2.0-105025039083,,FI_000179,kept
2-s2.0-85101441931,,FI_000180,kept
2-s2.0-85159905743,,FI_000181,kept
2-s2.0-105007848239,,FI_000182,kept
2-s2.0-105005867848,,FI_000183,kept
2-s2.0-85174836309,,FI_000184,kept
2-s2.0-85191164666,,FI_000185,kept
2-s2.0-85205882214,,FI_000186,kept
2-s2.0-105005096534,,FI_000187,kept
2-s2.0-105018715812,,FI_000188,kept
