doc_id,matched_terms,fit_labels,fit_count
FI_000000,,,0
FI_000001,,,0
FI_000002,financial literacy; financial capability; financial knowledge,FIT6_Financial_Education,1
FI_000003,,,0
FI_000004,financial capability,FIT6_Financial_Education,1
FI_000005,micro-credit; microfinance,FIT7_Microfinance_Models,1
FI_000006,financial capability,FIT6_Financial_Education,1
FI_000007,financial education,FIT6_Financial_Education,1
FI_000008,,,0
FI_000009,financial literacy; financial capability,FIT6_Financial_Education,1
FI_000010,,,0
FI_000011,,,0
FI_000012,,,0
FI_000013,m-pesa; mobile money; money transfers; money transfer; remittance,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000014,financial education; financial knowledge,FIT6_Financial_Education,1
FI_000015,mobile money; money transfer; money transfers,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000016,mobile payment,FIT1_Mobile_Money,1
FI_000017,financial literacy; financial knowledge,FIT6_Financial_Education,1
FI_000018,financial literacy; financial knowledge,FIT6_Financial_Education,1
FI_000019,non-banking,FIT2_Nonbank_Distribution,1
FI_000020,financial literacy; cbdc; blockchain; central bank digital currency,FIT6_Financial_Education; FIT8_Blockchain_DLT,2
FI_000021,,,0
FI_000022,ekyc,FIT5_Adapted_Regulation,1
FI_000023,blockchain,FIT8_Blockchain_DLT,1
FI_000024,mfis; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000025,blockchain; smart contracts,FIT8_Blockchain_DLT,1
FI_000026,central bank digital currencies; blockchain; central bank digital currency; cryptocurrencies; cryptocurrency,FIT8_Blockchain_DLT,1
FI_000027,financial literacy,FIT6_Financial_Education,1
FI_000028,cbdc; blockchain; cryptocurrency; central bank digital currency,FIT8_Blockchain_DLT,1
FI_000029,microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000030,mobile money; microfinance; cryptocurrencies; blockchain,FIT1_Mobile_Money; FIT7_Microfinance_Models; FIT8_Blockchain_DLT,3
FI_000031,,,0
FI_000032,financial education,FIT6_Financial_Education,1
FI_000033,mobile money,FIT1_Mobile_Money,1
FI_000034,microfinance,FIT7_Microfinance_Models,1
FI_000035,,,0
FI_000036,remittances; remittance,FIT4_Workers_Remittances,1
FI_000037,,,0
FI_000038,,,0
FI_000039,mobile payment; remittance,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000040,mobile financial services; financial literacy,FIT1_Mobile_Money; FIT6_Financial_Education,2
FI_000041,,,0
FI_000042,mobile money,FIT1_Mobile_Money,1
FI_000043,financial literacy,FIT6_Financial_Education,1
FI_000044,,,0
FI_000045,microcredit; mfis; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000046,financial literacy; financial capability; financial knowledge,FIT6_Financial_Education,1
FI_000047,financial capability; financial education; financial knowledge,FIT6_Financial_Education,1
FI_000048,financial capability,FIT6_Financial_Education,1
FI_000049,financial capability,FIT6_Financial_Education,1
FI_000050,financial literacy,FIT6_Financial_Education,1
FI_000051,financial literacy; financial capability,FIT6_Financial_Education,1
FI_000052,financial capability; financial knowledge,FIT6_Financial_Education,1
FI_000053,financial literacy; financial capability,FIT6_Financial_Education,1
FI_000054,financial capability,FIT6_Financial_Education,1
FI_000055,financial capability,FIT6_Financial_Education,1
FI_000056,financial education,FIT6_Financial_Education,1
FI_000057,financial capability; financial education,FIT6_Financial_Education,1
FI_000058,financial literacy; microcredit,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000059,financial literacy; microcredit,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000060,,,0
FI_000061,,,0
FI_000062,mfis; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000063,financial literacy,FIT6_Financial_Education,1
FI_000064,,,0
FI_000065,financial capability; financial education,FIT6_Financial_Education,1
FI_000066,financial capability; financial education,FIT6_Financial_Education,1
FI_000067,,,0
FI_000068,mobile money,FIT1_Mobile_Money,1
FI_000069,financial literacy,FIT6_Financial_Education,1
FI_000070,,,0
FI_000071,,,0
FI_000072,,,0
FI_000073,,,0
FI_000074,microfinance,FIT7_Microfinance_Models,1
FI_000075,non-bank,FIT2_Nonbank_Distribution,1
FI_000076,,,0
FI_000077,credit scoring,FIT3_Behavioral_Credit_Risk,1
FI_000078,microcredit; microfinance; mfis; microfinance institutions; mfi,FIT7_Microfinance_Models,1
FI_000079,financial literacy; microfinance; microfinance institutions,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000080,,,0
FI_000081,,,0
FI_000082,,,0
FI_000083,blockchain,FIT8_Blockchain_DLT,1
FI_000084,,,0
FI_000085,non-banking,FIT2_Nonbank_Distribution,1
FI_000086,,,0
FI_000087,financial literacy,FIT6_Financial_Education,1
FI_000088,,,0
FI_000089,blockchain,FIT8_Blockchain_DLT,1
FI_000090,mfis; mfi; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000091,mobile money,FIT1_Mobile_Money,1
FI_000092,mobile money,FIT1_Mobile_Money,1
FI_000093,remittances,FIT4_Workers_Remittances,1
FI_000094,tiered kyc; financial literacy,FIT5_Adapted_Regulation; FIT6_Financial_Education,2
FI_000095,,,0
FI_000096,mobile money,FIT1_Mobile_Money,1
FI_000097,financial capabilities,FIT6_Financial_Education,1
FI_000098,microfinance,FIT7_Microfinance_Models,1
FI_000099,financial literacy,FIT6_Financial_Education,1
FI_000100,,,0
FI_000101,,,0
FI_000102,microfinance,FIT7_Microfinance_Models,1
FI_000103,microcredit; microfinance,FIT7_Microfinance_Models,1
FI_000104,financial literacy; financial knowledge; microcredit; microfinance,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000105,,,0
FI_000106,microcredit; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000107,financial literacy; microfinance,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000108,financial regulation; proportionate regulation,FIT5_Adapted_Regulation,1
FI_000109,microfinance,FIT7_Microfinance_Models,1
FI_000110,,,0
FI_000111,financial training,FIT6_Financial_Education,1
FI_000112,microfinance,FIT7_Microfinance_Models,1
FI_000113,,,0
FI_000114,nonbanking; microfinance,FIT2_Nonbank_Distribution; FIT7_Microfinance_Models,2
FI_000115,mobile money; remittances; microcredit; microfinance,FIT1_Mobile_Money; FIT4_Workers_Remittances; FIT7_Microfinance_Models,3
FI_000116,,,0
FI_000117,microcredit; microfinance institution; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000118,,,0
FI_000119,microfinance,FIT7_Microfinance_Models,1
FI_000120,mobile money,FIT1_Mobile_Money,1
FI_000121,mobile money,FIT1_Mobile_Money,1
FI_000122,mobile money; remittance,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000123,microfinance,FIT7_Microfinance_Models,1
FI_000124,microcredit; micro-credit; microfinance,FIT7_Microfinance_Models,1
FI_000125,,,0
FI_000126,mobile money,FIT1_Mobile_Money,1
FI_000127,mobile money; microfinance,FIT1_Mobile_Money; FIT7_Microfinance_Models,2
FI_000128,financial literacy; microfinance; microfinance institutions,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000129,microfinance,FIT7_Microfinance_Models,1
FI_000130,microfinance,FIT7_Microfinance_Models,1
FI_000131,financial literacy; microfinance; microfinance institutions,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000132,,,0
FI_000133,microfinance,FIT7_Microfinance_Models,1
FI_000134,microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000135,microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000136,microfinance,FIT7_Microfinance_Models,1
FI_000137,mfis; microfinance,FIT7_Microfinance_Models,1
FI_000138,microcredit; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000139,financial capability; microfinance,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000140,microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000141,financial literacy,FIT6_Financial_Education,1
FI_000142,microfinance institution; mfis; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000143,mobile money,FIT1_Mobile_Money,1
FI_000144,e-wallet,FIT1_Mobile_Money,1
FI_000145,mfis; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000146,,,0
FI_000147,financial capabilities,FIT6_Financial_Education,1
FI_000148,financial literacy,FIT6_Financial_Education,1
FI_000149,financial literacy,FIT6_Financial_Education,1
FI_000150,credit scoring,FIT3_Behavioral_Credit_Risk,1
FI_000151,mfis; mfi; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000152,,,0
FI_000153,microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000154,,,0
FI_000155,mobile money,FIT1_Mobile_Money,1
FI_000156,financial literacy,FIT6_Financial_Education,1
FI_000157,,,0
FI_000158,financial literacy; financial capability; financial knowledge,FIT6_Financial_Education,1
FI_000159,mobile money; money transfer,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000160,microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000161,financial literacy; financial capability,FIT6_Financial_Education,1
FI_000162,remittance; financial literacy,FIT4_Workers_Remittances; FIT6_Financial_Education,2
FI_000163,,,0
FI_000164,remittances; remittance; migrant remittances,FIT4_Workers_Remittances,1
FI_000165,mobile payments; financial regulation,FIT1_Mobile_Money; FIT5_Adapted_Regulation,2
FI_000166,remittances; remittance,FIT4_Workers_Remittances,1
FI_000167,,,0
FI_000168,,,0
FI_000169,,,0
FI_000170,financial capability,FIT6_Financial_Education,1
FI_000171,financial literacy,FIT6_Financial_Education,1
FI_000172,financial literacy; blockchain,FIT6_Financial_Education; FIT8_Blockchain_DLT,2
FI_000173,financial literacy,FIT6_Financial_Education,1
FI_000174,financial regulation; financial literacy,FIT5_Adapted_Regulation; FIT6_Financial_Education,2
FI_000175,,,0
FI_000176,blockchain,FIT8_Blockchain_DLT,1
FI_000177,m-pesa; mobile money; money transfer; remittances,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000178,blockchain; cryptocurrency,FIT8_Blockchain_DLT,1
FI_000179,cryptocurrencies; blockchain,FIT8_Blockchain_DLT,1
FI_000180,microcredit; microfinance,FIT7_Microfinance_Models,1
FI_000181,mobile money,FIT1_Mobile_Money,1
FI_000182,financial education,FIT6_Financial_Education,1
FI_000183,,,0
FI_000184,group lending; microfinance,FIT7_Microfinance_Models,1
FI_000185,financial literacy,FIT6_Financial_Education,1
FI_000186,mfis; mfi; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000187,,,0
FI_000188,remittances; remittance,FIT4_Workers_Remittances,1
FI_000189,prudential regulation; microfinance,FIT5_Adapted_Regulation; FIT7_Microfinance_Models,2
FI_000190,,,0
FI_000191,blockchain; smart contract; cryptocurrencies; cryptocurrency; smart contracts,FIT8_Blockchain_DLT,1
FI_000192,consumer protection; financial literacy; financial education,FIT5_Adapted_Regulation; FIT6_Financial_Education,2
FI_000193,microcredit; mfis; microfinance; mfi,FIT7_Microfinance_Models,1
FI_000194,financial capability,FIT6_Financial_Education,1
FI_000195,remittances; remittance; financial regulation,FIT4_Workers_Remittances; FIT5_Adapted_Regulation,2
FI_000196,remittances; remittance,FIT4_Workers_Remittances,1
FI_000197,mobile money; money transfer,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000198,,,0
FI_000199,,,0
FI_000200,financial literacy,FIT6_Financial_Education,1
FI_000201,mobile money,FIT1_Mobile_Money,1
FI_000202,mobile money,FIT1_Mobile_Money,1
FI_000203,digital wallet; digital wallets; financial literacy,FIT1_Mobile_Money; FIT6_Financial_Education,2
FI_000204,,,0
FI_000205,financial literacy; financial capability,FIT6_Financial_Education,1
FI_000206,financial awareness; microfinance,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000207,,,0
FI_000208,migrant remittance; remittance; blockchain; cryptocurrency,FIT4_Workers_Remittances; FIT8_Blockchain_DLT,2
FI_000209,microcredit; microfinance; group lending; mfis; microfinance institutions; mfi,FIT7_Microfinance_Models,1
FI_000210,mobile money,FIT1_Mobile_Money,1
FI_000211,m-pesa; mobile money; branchless banking; money transfer,FIT1_Mobile_Money; FIT2_Nonbank_Distribution; FIT4_Workers_Remittances,3
FI_000212,smart contract; blockchain; smart contracts,FIT8_Blockchain_DLT,1
FI_000213,mobile money,FIT1_Mobile_Money,1
FI_000214,mobile money,FIT1_Mobile_Money,1
FI_000215,mobile money,FIT1_Mobile_Money,1
FI_000216,,,0
FI_000217,,,0
FI_000218,blockchain,FIT8_Blockchain_DLT,1
FI_000219,consumer protection; microfinance,FIT5_Adapted_Regulation; FIT7_Microfinance_Models,2
FI_000220,worker remittance; remittance; blockchain; cryptocurrency; smart contracts,FIT4_Workers_Remittances; FIT8_Blockchain_DLT,2
FI_000221,mobile financial services; mobile payment,FIT1_Mobile_Money,1
FI_000222,credit scoring; digital footprints,FIT3_Behavioral_Credit_Risk,1
FI_000223,money transfer; distributed ledger; dlt,FIT4_Workers_Remittances; FIT8_Blockchain_DLT,2
FI_000224,financial literacy; financial education; financial capabilities,FIT6_Financial_Education,1
FI_000225,microfinance institution; microfinance,FIT7_Microfinance_Models,1
FI_000226,,,0
FI_000227,financial education,FIT6_Financial_Education,1
FI_000228,remittances; remittance,FIT4_Workers_Remittances,1
FI_000229,m-pesa; mobile payments; mobile payment,FIT1_Mobile_Money,1
FI_000230,mobile wallet; mobile payment,FIT1_Mobile_Money,1
FI_000231,,,0
FI_000232,,,0
FI_000233,cross-border payments; remittances; stablecoins; stablecoin; central bank digital currencies,FIT4_Workers_Remittances; FIT8_Blockchain_DLT,2
FI_000234,microfinance,FIT7_Microfinance_Models,1
FI_000235,dlt; cryptocurrencies; central bank digital currencies; blockchain; stablecoins; distributed ledger,FIT8_Blockchain_DLT,1
FI_000236,financial literacy,FIT6_Financial_Education,1
FI_000237,microfinance institution; microfinance,FIT7_Microfinance_Models,1
FI_000238,microfinance,FIT7_Microfinance_Models,1
FI_000239,blockchain,FIT8_Blockchain_DLT,1
FI_000240,smart contract; blockchain,FIT8_Blockchain_DLT,1
FI_000241,microcredit,FIT7_Microfinance_Models,1
FI_000242,microfinance,FIT7_Microfinance_Models,1
FI_000243,mobile payment,FIT1_Mobile_Money,1
FI_000244,financial capabilities,FIT6_Financial_Education,1
FI_000245,microfinance,FIT7_Microfinance_Models,1
FI_000246,credit scoring,FIT3_Behavioral_Credit_Risk,1
FI_000247,,,0
FI_000248,financial literacy,FIT6_Financial_Education,1
FI_000249,blockchain,FIT8_Blockchain_DLT,1
FI_000250,alternative data,FIT3_Behavioral_Credit_Risk,1
FI_000251,cryptocurrencies,FIT8_Blockchain_DLT,1
FI_000252,mobile money; money transfers,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000253,remittances; cryptocurrency,FIT4_Workers_Remittances; FIT8_Blockchain_DLT,2
FI_000254,,,0
FI_000255,blockchain,FIT8_Blockchain_DLT,1
FI_000256,,,0
FI_000257,blockchain,FIT8_Blockchain_DLT,1
FI_000258,mobile payment,FIT1_Mobile_Money,1
FI_000259,m-pesa; mobile money,FIT1_Mobile_Money,1
FI_000260,blockchain; cryptocurrency,FIT8_Blockchain_DLT,1
FI_000261,financial education,FIT6_Financial_Education,1
FI_000262,blockchain; cryptocurrency,FIT8_Blockchain_DLT,1
FI_000263,microfinance,FIT7_Microfinance_Models,1
FI_000264,mobile financial services; mobile money,FIT1_Mobile_Money,1
FI_000265,,,0
FI_000266,microfinance,FIT7_Microfinance_Models,1
FI_000267,remittances; financial education,FIT4_Workers_Remittances; FIT6_Financial_Education,2
FI_000268,,,0
FI_000269,,,0
FI_000270,e-wallet,FIT1_Mobile_Money,1
FI_000271,microfinance,FIT7_Microfinance_Models,1
FI_000272,mobile payment; non-bank,FIT1_Mobile_Money; FIT2_Nonbank_Distribution,2
FI_000273,financial capability; financial education,FIT6_Financial_Education,1
FI_000274,financial literacy,FIT6_Financial_Education,1
FI_000275,e-wallet; mobile money; mobile wallet,FIT1_Mobile_Money,1
FI_000276,,,0
FI_000277,regulatory sandboxes,FIT5_Adapted_Regulation,1
FI_000278,dlt; cryptocurrency; central bank digital currency,FIT8_Blockchain_DLT,1
FI_000279,blockchain,FIT8_Blockchain_DLT,1
FI_000280,mobile money,FIT1_Mobile_Money,1
FI_000281,financial capabilities; smart contract; blockchain; cryptocurrency; smart contracts,FIT6_Financial_Education; FIT8_Blockchain_DLT,2
FI_000282,mfis; mfi; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000283,blockchain,FIT8_Blockchain_DLT,1
FI_000284,mobile money,FIT1_Mobile_Money,1
FI_000285,blockchain,FIT8_Blockchain_DLT,1
FI_000286,,,0
FI_000287,,,0
FI_000288,,,0
FI_000289,,,0
FI_000290,cbdc; central bank digital currency,FIT8_Blockchain_DLT,1
FI_000291,,,0
FI_000292,mobile money; cross-border payments; international transfers,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000293,mobile money,FIT1_Mobile_Money,1
FI_000294,anti-money laundering; consumer protection,FIT5_Adapted_Regulation,1
FI_000295,mobile money; remittances; money transfers,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000296,,,0
FI_000297,remittances,FIT4_Workers_Remittances,1
FI_000298,mobile money; mobile payment,FIT1_Mobile_Money,1
FI_000299,mobile payments; mobile money; mobile payment; financial literacy,FIT1_Mobile_Money; FIT6_Financial_Education,2
FI_000300,mobile payments; mobile payment; money transfers; blockchain,FIT1_Mobile_Money; FIT4_Workers_Remittances; FIT8_Blockchain_DLT,3
FI_000301,micro-credit; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000302,microfinance,FIT7_Microfinance_Models,1
FI_000303,mobile money,FIT1_Mobile_Money,1
FI_000304,microfinance,FIT7_Microfinance_Models,1
