source,target,weight
"Agot, K.","Thirumurthy, H.",3
"Agot, K.","Onyango, J.",2
"Agot, K.","Ochillo, M.",2
H.,Ahmed,2
H.,Baber,2
"Hassan, M.K.","Khan, S.",3
"Hassan, M.K.","Rabbani, M.R.",2
"Vlaev, I.","Elliott, A.",2
"Ranyard, R.","Mchugh, S.",2
"Abedifar, P.","Ebrahim, S.M.",2
"Abedifar, P.","Molyneux, P.",2
"Abedifar, P.","Tarazi, A.",2
"Ebrahim, S.M.","Molyneux, P.",2
"Ebrahim, S.M.","Tarazi, A.",2
"Molyneux, P.","Tarazi, A.",2
"Molyneux, P.","Berger, A.N.",2
"Molyneux, P.","Wilson, J.O.S.",2
A.,Singh,2
A.,Kouandou,2
A.,Goel,2
A.,Gosavi,2
A.,Arshad,2
A.,Hassan,2
A.,Shankar,2
A.,Mehrotra,2
A.,Schwittay,3
O.,Manta,2
"Lakshmi, R.M.","Bharathi, A.M.",2
"Rawat, R.","Goyal, H.R.",2
"Rawat, R.","Sharma, S.",2
"Bhawnra, S.X.","Singh, K.B.",2
"Gupta, D.","Gupta, M.",2
"Kandpal, V.","Mehrotra, R.",2
"Kandpal, V.","Mishra, D.",2
"Kandpal, V.","Agarwal, N.",2
"Ozili, P.K.","Syed, A.A.",2
Das,S.,2
S.,Singh,2
S.,Ghosh,7
S.,Maity,5
S.,Sharma,3
S.,Johnson,4
S.,Hubbard,3
S.,Chikalipah,2
S.,Fine,3
S.,Andrae,3
S.,Chatterjee,2
"Ölkers, T","Musshoff, O",2
M.J.,Sirgy,2
"Dorfleitner, G.","Forcella, D.",2
"Fenton-O'Creevy, M.","Furnham, A.",2
"Lee, S.T.","Kim, K.T.",5
"Lee, S.T.","Nam, Y.",2
"Hanna, S.D.","Kim, K.T.",3
"Lim, H.","Sommer, M.",2
"Lyons, A.C.","Kass-Hanna, J.",5
"Lyons, A.C.","Liu, F.",3
"Nourallah, M.","Öhman, P.",2
"Noman, A.","Bin Abdul Baten, R.",2
L’Esperance,M.,2
M.,Sarma,3
M.,Langevin,2
M.,Susan,2
M.,Isaeva,2
M.,Taylor,2
M.,Qamruzzaman,2
