node,publications,degree
"Braveman, P.",1,0
"Bennett, T.",1,0
"Lewis, C.",1,0
"Egerter, S.",1,0
"Showstack, J.",1,0
"Moscoe, E.",1,0
"Agot, K.",4,3
"Thirumurthy, H.",3,1
"Khera, N.",1,0
"Zhang, N.",2,0
"Hilal, T.",1,0
"Durani, U.",1,0
"Lee, M.",2,0
"Padman, R.",1,0
"Voleti, S.",1,0
"Warsame, R.M.",1,0
"Borah, B.J.",1,0
"Yabroff, K.R.",1,0
"Griffin, J.M.",2,0
"Trendl, A.",1,0
"Anwyl-Irvine, A.",1,0
"Vomfell, L.",1,0
"Abbey, E.",2,0
"Stewart, N.",1,0
"Atkins, D.",1,0
"Llewellyn, D.J.",1,0
"Gathergood, J.",1,0
"Leake, D.",1,0
Budhwani,1,0
H.,23,2
"Oseni, U.A.",2,0
"Hassan, M.K.",12,2
"Vlaev, I.",3,1
"Elliott, A.",2,1
"Ranyard, R.",2,1
"Mchugh, S.",2,1
"Mcnair, S.",1,0
King,1,0
B.,15,0
Dew,1,0
J.P.,2,0
"Abedifar, P.",2,3
"Ebrahim, S.M.",2,3
"Molyneux, P.",4,5
"Tarazi, A.",3,3
Kreuter,1,0
E.A.,2,0
Maj,1,0
A.,95,9
"Nidugondi, S.",1,0
"Bhargava, M.",2,0
Taaffe,1,0
O.,20,1
Dakouré,1,0
É.,1,0
Loukou,1,0
A.F.,4,0
"Lakshmi, R.M.",2,1
"Bharathi, A.M.",2,1
"Arun Prakash, A.",1,0
"Leelavathi, R.",1,0
"Rupashree, R.",1,0
"Jisha, V.G.",1,0
"Ramkrishna, V.M.",1,0
"Loganathan, V.",1,0
"Rawat, R.",3,2
"Chakrawarti, R.K.",1,0
"Sarangi, S.K.",1,0
"Vyas, P.",1,0
"Alamanda, M.S.",1,0
"Srividya, K.",1,0
"Sankaran, K.S.",1,0
"Bhawnra, S.X.",2,1
"Singh, K.B.",2,1
"Gupta, D.",4,1
"Gupta, M.",4,1
"Dhanaraj, R.K.",1,0
"Balusamy, B.",1,0
"Gupta, P.M.",1,0
"Rao, D.N.",1,0
"Mahalingam, M.",1,0
"Santibañez-González, E.D.R.",1,0
"Kandpal, V.",7,3
"Ozili, P.K.",7,1
"Chatterjee, P.",2,0
Das,2,1
S.,104,11
"Lubawa, G.G.",1,0
"Bansal, D.",3,0
"Bhattacharya, N.",1,0
"Somasundaran, C.P.",1,0
"Chishti, M.D.",1,0
"Junaid, A.B.",1,0
"Guglani, R.",1,0
"Ghosh, A.",2,0
"Bhatia, A.",1,0
"Biradar, J.",1,0
"Kalra, A.K.",1,0
"Turvey, C.G.",1,0
"Xiong, X.",3,0
"Abdul-Rahaman, A.",1,0
"Abdulai, A.",1,0
"Ölkers, T",2,1
"Musshoff, O",3,1
"Lizcano-Prada, J.",1,0
"Lombana-Coy, J.",1,0
"Maestre-Matos, L.M.",1,0
"Hahm, H.",1,0
"Subhanij, T.",1,0
"Almeida, R.",1,0
"Reyna, V.F.",1,0
"Wilhelms, E.A.",1,0
"Dutt, V.",1,0
"González, C.",1,0
Mampaey,1,0
M.J.,5,1
"Kumar, N.",6,0
"Mathur, A.",2,0
"Lal, S.",2,0
"Esquivias, M.A.",1,0
"Sethi, N.",2,0
"Ramandha, M.D.",1,0
"Jayanti, A.D.",1,0
"Saeed, M.M.",1,0
"Donkoh, E.",1,0
"Mehraj, D.",1,0
"Nissa, S.N.U.",1,0
"Nissa, V.U.",1,0
"Gulzar, S.",1,0
"Mathibe, M.S.",1,0
"Oppong, C.",1,0
"Dorfleitner, G.",2,1
"Forcella, D.",4,1
"Gerckens, A.",1,0
"Fenton-O'Creevy, M.",2,1
"Furnham, A.",3,1
"Lee, S.T.",7,2
"Hanna, S.D.",6,1
"Walsh, B.",1,0
"Lim, H.",5,1
"Todd, T.M.",2,0
"Seay, M.C.",4,0
"Lyons, A.C.",8,2
"Kass-Hanna, J.",5,1
"Sommer, M.",2,1
"Nourallah, M.",2,1
"Ho, H.R.",1,0
"Chien, C.-L.",1,0
"Öhman, P.",2,1
"Noman, A.",3,1
"Bin Abdul Baten, R.",2,1
L’Esperance,2,1
M.,82,8
"Birkenmaier, J.",26,9
"Maynard, B.",6,2
"Kim, Y.",8,2
"Lee, N.",2,3
"Beeler Stücklin, S.",2,3
"Lopez Rodriguez, P.",2,3
"El Alaoui Faris, M.",1,0
"Mukaka, I.",2,3
"Dela Cruz, N.A.",1,0
