source,target,weight
prenatal care,article,5
prenatal care,female,5
prenatal care,adult,5
prenatal care,human,5
prenatal care,adolescent,3
prenatal care,pregnancy,4
prenatal care,humans,3
medicaid,article,3
medicaid,female,4
medicaid,adult,4
medicaid,united states,4
medicaid,human,4
medicaid,health care access,3
medicaid,health services accessibility,3
medicaid,humans,3
article,female,171
article,adult,154
article,health insurance,17
article,socioeconomic factors,22
article,united states,22
article,human,240
article,california,3
article,retrospective studies,3
article,health care access,17
article,priority journal,24
article,ethnic group,5
article,adolescent,54
article,pregnancy,12
article,poverty,31
article,health services accessibility,14
article,middle aged,55
article,retrospective study,6
article,"banking, personal",37
article,leisure,3
article,economic well-being,8
article,cognitive defect,3
article,case control study,3
article,household,39
article,socioeconomics,29
article,aged,44
article,demographics,8
article,major clinical study,55
article,united kingdom,5
article,gardening,3
article,clinical outcome,4
article,bank account,110
article,propensity score,3
article,male,132
article,humans,158
article,supermarket,3
article,decision making,29
article,financial crisis,3
article,case-control studies,3
article,controlled study,73
article,organization,6
article,emotion,5
article,trust,4
article,emotions,3
article,human relation,4
article,social environment,4
article,psychological aspect,8
article,economic empowerment,3
article,follow up,12
article,prevention and control,9
article,epidemiology,13
article,sexually transmitted disease,3
article,coronavirus disease 2019,10
article,condom use,5
article,lockdown,4
article,economic aspect,25
article,sex work,4
article,unprotected sex,4
article,empowerment,15
article,income,36
article,sex workers,6
article,human immunodeficiency virus prevalence,3
article,risk reduction,5
article,human immunodeficiency virus infection,17
article,longitudinal study,9
article,sex worker,7
article,uganda,6
article,prostitution,6
article,young adult,41
article,randomized controlled trial,16
article,literacy,20
article,covid-19,7
article,hiv infections,14
article,sexual behavior,12
article,high risk behavior,14
article,therapy,3
article,ethnology,6
article,practice guideline,3
article,employment,6
article,productivity,4
article,financial deficit,5
article,anxiety,6
article,household income,13
article,public policy,6
article,cohort analysis,7
article,mental health,9
article,debt,4
article,very elderly,9
article,instrumental variable analysis,5
article,australia,4
article,savings,5
article,family characteristics,15
article,outcome assessment,15
article,ghana,3
article,health care cost,17
article,development,3
article,wellbeing,16
article,family size,10
article,health expenditures,5
article,financial inclusion,20
article,health,5
article,financial management,54
article,perception,6
article,human experiment,46
article,human immunodeficiency virus infected patient,4
article,sub-saharan africa,7
article,parity,6
article,breast neoplasms,3
article,early detection of cancer,3
article,risk assessment,11
article,cultural factor,4
article,psychology,30
article,mother,5
article,india,12
article,internet access,5
article,cancer risk,3
article,aging,9
article,health survey,20
article,urban area,5
article,mass screening,5
article,risk factor,14
article,breast tumor,3
article,help seeking behavior,9
article,cancer screening,6
article,health behavior,17
article,economics,52
article,early cancer diagnosis,3
article,patient acceptance of health care,8
article,patient attitude,8
article,breast cancer,3
article,alcohol consumption,6
article,social class,6
article,spouse,6
article,money,27
article,qualitative analysis,6
article,married person,3
article,quantitative analysis,8
article,marriage,19
article,finance,24
article,qualitative research,14
article,content analysis,3
article,friend,6
article,adolescents,3
article,sex difference,12
article,financial capability,14
article,financial education,5
article,education,32
article,case report,3
article,planning,3
article,purchasing,3
article,clinical assessment,6
article,physiological stress,4
article,social interaction,7
article,physician,3
article,cognition,8
article,depression,6
article,cooperation,3
article,self concept,10
article,clinical article,13
article,wife,3
article,avoidance behavior,3
article,family,3
article,gambling,3
article,interview,22
article,social behavior,12
article,financial literacy,14
article,occupation,4
article,structural equation modeling,7
article,behavior,20
article,personal finance,3
article,government,20
article,behavior control,3
article,partial least squares regression,4
article,investment,15
article,investments,7
article,surveys and questionnaires,20
article,technology,10
article,questionnaire,33
article,agricultural worker,5
article,agriculture,5
article,reproducibility,3
article,attitude,12
article,learning,4
article,consumer behavior,12
article,digitalization,4
article,innovation,3
article,cryptocurrency,3
article,consumer,18
article,consumer attitude,14
article,reliability,4
article,legal aspect,3
article,algorithm,5
article,banking,10
article,china,18
article,artificial intelligence,5
article,likert scale,6
article,cross-sectional study,32
article,behavioral economics,4
article,morality,3
article,demography,10
article,policy,8
article,reward,5
article,"financing, personal",5
article,personal experience,5
article,educational status,15
article,socialization,4
article,procedures,18
article,cross-sectional studies,26
article,child,25
article,internet,8
article,regression analysis,6
article,gender,14
article,satisfaction,3
article,iran,4
article,electronic commerce,4
article,catering service,6
article,food,8
article,food supply,4
article,focus groups,6
article,participation,4
article,urban population,4
