node,count,degree
prenatal care,5,7
medicaid,4,8
article,252,534
female,236,479
adult,206,423
health insurance,31,57
socioeconomic factors,41,83
united states,61,84
medically uninsured,1,0
private health insurance,1,0
human,362,692
california,6,5
eligibility determination,1,0
retrospective studies,3,3
health care access,29,76
priority journal,33,66
ethnic group,5,8
adolescent,73,184
pregnancy,13,36
"support, non-u.s. gov't",1,0
poverty,247,228
health services accessibility,28,67
middle aged,94,205
kenya,81,87
drinking behavior,2,0
prevention and control,11,34
"banking, personal",62,99
risk-taking,10,15
sex work,7,20
reward,7,12
health risk behaviors,1,0
alcoholic beverages,1,0
gambling,9,9
bank account,161,344
alcohol drinking,3,6
alcoholic beverage,1,0
male,179,337
prostitution,8,25
humans,264,558
young adult,63,164
economics,201,280
motivation,22,27
randomized controlled trial,23,74
controlled study,82,188
high risk behavior,17,34
financial stress,23,19
cross-sectional study,50,116
health care cost,26,46
"insurance, health",7,12
cross-sectional studies,45,110
neoplasms,2,0
neoplasm,2,0
health expenditures,10,18
monte carlo method,1,0
retrospective study,6,13
population based case control study,1,0
webshop,1,0
power of attorney,1,0
self care,2,0
leisure,5,6
family-wise error rate,1,0
clinical indicator,1,0
economic well-being,16,17
cognitive defect,3,5
case control study,3,7
household,53,86
anonymised data,2,0
socioeconomics,46,99
aged,58,137
demographics,14,13
major clinical study,65,137
registration,3,5
united kingdom,26,17
gardening,3,6
medical literature,1,0
research gap,2,0
clinical outcome,4,7
financial capacity loss,1,0
propensity score,7,8
financial vulnerability,12,4
supermarket,3,8
decision making,106,141
financial crisis,52,36
case-control studies,3,7
social gradient,1,0
socio-economic status,5,0
socioeconomic status,32,32
economic analysis,66,63
health outcomes,3,0
office buildings,2,0
interconnected pathways,1,0
power,19,10
life expectancies,2,0
physical health,2,0
health,26,17
education,127,113
economic and social effects,91,92
social class,9,18
micro-credit,9,3
islamic finance,43,9
financial exclusion,107,34
islamic financial intermediation,1,0
islamic microfinance,41,10
household economic decisions,1,0
social opportunity,1,0
financial advisory services,1,0
financial capability,251,107
customer well-being,1,0
behaviour change,2,0
behavioural framework,1,0
financial behaviour,40,12
behavioural capability,1,0
psychological detriment,1,0
over-indebtedness,8,2
credit choice processes,1,0
financial education,214,86
personal borrowing,1,0
borrowers’ repayment strategies,1,0
psychological consequences,1,0
credit cost measures,1,0
resource management,4,0
financial goals,4,1
decentralized finance,174,159
gender,133,115
financial security,11,8
finance,607,543
well being,17,10
financial literacy,815,355
behavioral research,42,26
relationship qualities,1,0
relationship quality,4,0
family resource management,1,0
good and services,2,0
commercial bank,9,1
small-and-medium enterprise,12,10
third parties,6,2
open data,4,1
open application programming interface,1,0
bank accounts,94,73
banking,378,328
application programming interfaces (api),10,7
touch-points,2,0
marketplaces,2,0
fintech,521,304
commerce,64,58
potential partners,1,0
core components,2,0
corporate clients,1,0
financial inclusions,529,479
integral part,5,0
transfer operator,1,0
ecosystems,28,23
government agencies,3,0
money transfers,11,8
critical mass,1,0
inclusion problem,1,0
taxation,8,0
financial system,294,254
financial aids,1,0
electronic money,233,225
sub-saharan africa,130,102
service industry,14,13
current practices,1,0
digital identity,16,11
financial markets,39,27
technical expertise,1,0
financial service,198,169
learn+,1,0
current problems,2,0
core functions,1,0
'current,36,26
anniversary celebration,1,0
investments,111,122
banking and finance,4,1
migrant' fund transfer,1,0
african migrants,1,0
industrial economics,8,3
socio-economics,14,10
mobile money transfer,4,1
socio-economic living conditions,1,0
mobile money transfers,1,0
socio-economic living condition,1,0
financial services,341,221
african migrant,1,0
living conditions,2,0
migrants' fund transfers,1,0
m-banking,12,1
digital technologies,32,21
centralised,5,5
spatial dispersion,1,0
decentralisation,15,14
classic models,1,0
geographic concentrations,1,0
ideal solutions,2,0
mobile payment,106,77
financial inclusion,2369,1049
financial literacy and wireless network,1,0
post office and insurance,1,0
bank,21,2
technological advancement,8,4
banks revenue,1,0
indian banking system,1,0
fin-tech apps,1,0
digital currency,35,13
blockchain,322,231
fiat currency,3,0
cbdc,48,20
chatbots,4,1
ekyc,1,0
artificial intelligence,111,108
predictive analytics,15,12
artificial intelligence (ai),11,7
credit risk framework,1,0
robotic process automation (rpa),1,0
financial inclusiveness,4,0
autonomous finance,1,0
microfinance,631,409
machine learning (ml),2,0
sustainability,138,86
blockchain technology,41,30
central bank digital currency,61,33
cryptocurrency,79,50
digital finance,142,64
mobile banking,197,124
financial industry,21,17
decentralised,61,54
public policy,53,50
traditional banking,6,2
block-chain,180,176
decentralized systems,8,8
intermediation,3,0
banking systems,18,14
central bank,50,33
competition,30,20
defi,17,8
global banking,1,0
digitalization,59,37
sociocultural asymmetries,1,0
policy interventions,3,0
rural areas,52,48
economic inequality,6,1
digital infrastructures,6,3
fintech industry,2,0
policy intervention,6,2
case-studies,23,16
agriculture,55,42
last mile,2,0
population statistics,45,38
sociocultural asymmetry,1,0
digital divide,31,21
mobile bankings,70,63
sustainable development goals,81,48
contextualize,1,0
financial innovation,52,33
global sustainability,1,0
environmental protection,13,19
environmental technology,11,9
sustainable development,215,194
technological innovation,19,11
primary objective,5,2
database systems,3,0
economic empowerment,35,35
demographic factors,8,0
south asia,17,9
internet access,9,10
logistic regression,39,21
digital financial inclusion,167,70
global findex database,5,1
logistic regression analysis,7,10
mali,9,1
elasticities,1,0
agricultural cycle,1,0
seasonal migration,1,0
model selection,1,0
rural credit markets,1,0
farm credit,1,0
constraints,23,11
interest rate elasticity,1,0
maize,3,0
loan demand,2,0
risk,39,23
agricultural credit,5,4
agricultural finance,12,7
monetary-policy,1,0
small-scale farmers,3,0
economic dimension,1,0
agribusiness,8,0
sustainability standards,1,0
banana,2,0
small island developing states,2,0
pacific,2,0
remittance transaction costs,1,0
sensation seeking,1,0
self-control,4,0
fuzzy-trace theory,1,0
risk taking,6,1
impulsivity,5,1
delay discounting,1,0
inhibition,1,0
substance use,1,0
linear thinking,1,0
physical representation,1,0
correlation heuristic,1,0
climate change,31,16
graphical representation,1,0
text representation,1,0
holistic approach,3,0
realistic scenario,1,0
solution providers,2,0
end-to-end security,1,0
payment transactions,3,0
agent infrastructure,1,0
identity-based authenticated key exchanges,1,0
insecure communication channel,1,0
authentication,40,36
mobile storytelling,1,0
electrical engineering,1,0
bells,1,0
rural,29,8
indonesia,71,23
the philippines,4,1
vietnam,17,2
financial institutions,35,11
ghana,87,47
mobile banking payment,1,0
mobile banking account management,1,0
mobile banking services,6,2
the diffusion of innovations theory,1,0
mobile banking transfer,1,0
financial self-efficacy,18,3
rural households,20,6
poverty alleviation,105,76
fi,2,0
digital technology,20,15
entrepreneurship,101,59
inclusive finance,62,24
caribbean islands,6,2
hazard management,1,0
lending behavior,82,58
climate change adaptation,5,0
climate finance,3,0
socioeconomic impact,8,2
adaptive management,7,1
credit provision,117,96
latin america,29,15
vulnerability,36,36
personality,8,3
pathology,4,0
money,60,55
ideology,1,0
early withdrawals,3,0
overconfidence,14,3
hardship withdrawals,1,0
retirement plan loans,1,0
financial knowledge,101,38
millennials,15,4
technology acceptance model,33,19
pfm,1,0
financial behavior,89,24
household finance,29,6
robo-advisors,7,1
financial technology,136,71
automated investments,1,0
financial planning,28,9
methodological issues,1,0
measurement,7,0
multidimensional indices,1,0
digital literacy,37,14
digital financial literacy,49,7
behavioral finance,18,3
decision-making,14,5
financial advisors,4,0
capability approach,12,3
financial well-being,73,23
social determinants of health,11,13
access to care,4,3
medical bills,2,0
covid-19,86,52
healthcare costs,1,0
youth employment,2,0
debt,56,40
personal finance,44,26
household saving,7,1
wealth,8,2
borrowing,7,1
adaptation strategies,1,0
probit,7,1
climate vulnerability,1,0
wetland community,1,0
livelihood vulnerability index & lvi-intergovernmental panel on climate change framework,1,0
mobile security,26,26
inspection,1,0
api calls analysis,1,0
permission use analysis,2,0
string subsequence kernel,1,0
api calls,1,0
dynamic behavior analysis,2,0
android malware,3,1
malware,11,4
support vector machines,10,7
android (operating system),10,8
subsequence kernels,1,0
artificial neural networks,3,0
financial performance,31,6
corporate social responsibility,22,15
social enterprise,9,3
sustainable financial literacy,1,0
sustainable entrepreneurial intentions,2,0
women,83,50
sustainable firm growth,2,0
mena,10,1
corruption,14,3
institutional theory,9,1
decomposition analysis,5,1
national financial capability study,19,5
seemingly unrelated estimation,1,0
self-employed,2,0
human development index,12,5
macroeconomic stability,2,0
environmentally friendly,1,0
macroeconomics,22,14
natural resource,9,9
economic development,165,128
natural resources,8,6
employment,45,34
mobile application,10,5
age,23,34
public health,16,30
rural population,34,58
procedures,37,65
financial management,86,147
travel time,2,0
mobile applications,14,8
digital health,1,0
digital financial service,15,12
surveys and questionnaires,37,68
questionnaire,52,106
mobile phone,53,48
age factors,6,10
national health programs,4,6
mobile money,370,216
sex factor,6,15
national hospital insurance fund,1,0
"financing, personal",13,25
sex factors,9,22
modernization,2,0
modern technology,1,0
human development,18,6
literacy,142,135
income,110,159
frontier markets,2,0
barriers,13,2
interest rate,18,11
financial market,127,115
north africa,3,1
political instability,3,0
political economy,24,10
middle east,4,1
financial policy,37,24
financial provision,46,34
financial inclusion index,66,21
least squares method,12,7
panel var,2,0
economic growth,162,105
empirical analysis,58,48
gmm,23,7
isdb,1,0
granger causality test,1,0
innovation,147,122
profitability,35,18
labor participation,3,0
tanzania,32,15
household income,56,70
economic activity,9,5
policy approach,18,12
entrepreneurial ecosystem,2,0
panel vector auto-regression model,1,0
impacts,13,6
microfinance evidence,4,2
entry,2,0
regional development,11,2
exclusion,12,4
services,54,38
economic-growth,29,17
two-period overlapping generation model,1,0
world bank,28,14
financing constraints,20,7
access to finance,132,54
collateralized borrowing,1,0
survey,10,2
public sector,12,9
ecowas,2,0
electronic government,1,0
west africa,8,3
saving,36,16
governance approach,25,18
analytical hierarchy process,2,0
small and medium-sized enterprise,51,42
topsis,5,1
mcdm,2,0
credit scoring model,9,9
smes,61,19
ahp,2,0
