year,citations,pub_count,z_score,is_surge
1980,1,1,-0.71144854143105,False
1987,24,1,-0.7057595407387125,False
1988,8,1,-0.7097171064377299,False
1989,55,1,-0.6980917571968663,False
1990,243,1,-0.6515903602334119,False
1991,0,2,-0.7116958892872386,False
1992,0,1,-0.7116958892872386,False
1993,99,1,-0.6872084515245684,False
1994,19,1,-0.7069962800196554,False
1995,496,4,-0.5890113526176993,False
1996,3,1,-0.7109538457186728,False
1998,95,1,-0.6881978429493228,False
1999,107,2,-0.6852296686750597,False
2001,13,2,-0.708480367156787,False
2002,75,6,-0.6931448000730945,False
2003,283,5,-0.6416964459858684,False
2004,849,8,-0.5016975593831281,False
2005,297,15,-0.6382335759992283,False
2006,855,13,-0.5002134722459965,False
2007,917,16,-0.48487790516230417,False
2008,1184,28,-0.4188360275599514,False
2009,1238,44,-0.40547924332576774,False
2010,1321,32,-0.384949371262115,False
2011,3648,62,0.19062909008872725,False
2012,3189,86,0.07709642409816575,False
2013,2454,98,-0.10470425020044578,False
2014,3406,119,0.13077090889108917,False
2015,5517,166,0.6529222333051966,False
2016,5516,223,0.652674885449008,False
2017,5553,242,0.6618267561279857,False
2018,7828,281,1.2245431289570214,False
2019,8674,359,1.4337994152925662,False
2020,14768,500,2.9411372509058165,True
2021,12907,544,2.480822890538856,True
2022,12270,659,2.3232623061467255,True
2023,10475,860,1.8792729042882115,False
2024,5912,1148,0.7506246364996885,False
2025,1901,1550,-0.24148761467273447,False
2026,15,69,-0.7079856714444098,False
