node,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
financial inclusion,1049,0.0579,0,0.0768,0.1924
human,692,0.0382,0,0.0679,0.194
humans,558,0.0308,0,0.0632,0.1719
finance,543,0.03,0,0.0661,0.1535
article,534,0.0295,0,0.0646,0.1739
female,479,0.0264,0,0.0619,0.1627
financial inclusions,479,0.0264,0,0.0648,0.1089
adult,423,0.0233,0,0.0608,0.1508
microfinance,409,0.0226,0,0.0631,0.1303
financial literacy,355,0.0196,0,0.0626,0.1275
bank account,344,0.019,0,0.0594,0.135
male,337,0.0186,0,0.0594,0.1355
banking,328,0.0181,0,0.0624,0.1247
fintech,304,0.0168,0,0.0616,0.0987
economics,280,0.0155,0,0.0609,0.1335
financial system,254,0.014,0,0.0607,0.0964
blockchain,231,0.0127,0,0.0602,0.0657
poverty,228,0.0126,0,0.0597,0.1181
electronic money,225,0.0124,0,0.0549,0.0676
financial services,221,0.0122,0,0.06,0.0932
mobile money,216,0.0119,0,0.0598,0.0825
middle aged,205,0.0113,0,0.0568,0.1018
sustainable development,194,0.0107,0,0.0596,0.0882
controlled study,188,0.0104,0,0.0569,0.0993
adolescent,184,0.0102,0,0.0563,0.0951
block-chain,176,0.0097,0,0.0542,0.0485
financial service,169,0.0093,0,0.056,0.0594
young adult,164,0.0091,0,0.056,0.0893
decentralized finance,159,0.0088,0,0.0541,0.0512
income,159,0.0088,0,0.0569,0.0999
india,158,0.0087,0,0.0583,0.0909
china,157,0.0087,0,0.0586,0.0852
financial management,147,0.0081,0,0.056,0.0863
decision making,141,0.0078,0,0.0584,0.0901
aged,137,0.0076,0,0.0501,0.0756
major clinical study,137,0.0076,0,0.0557,0.0847
literacy,135,0.0074,0,0.057,0.0883
economic development,128,0.0071,0,0.0581,0.0743
developing countries,128,0.0071,0,0.0582,0.0665
mobile banking,124,0.0068,0,0.0582,0.0517
psychology,122,0.0067,0,0.0478,0.0692
investments,122,0.0067,0,0.0581,0.0611
innovation,122,0.0067,0,0.0583,0.0658
cross-sectional study,116,0.0064,0,0.0528,0.0679
gender,115,0.0063,0,0.0575,0.08
financial market,115,0.0063,0,0.0581,0.0664
education,113,0.0062,0,0.0571,0.0808
empowerment,110,0.0061,0,0.0569,0.0772
cross-sectional studies,110,0.0061,0,0.0459,0.0646
artificial intelligence,108,0.006,0,0.0573,0.0558
